transform,pairs,recall_hash,recall_candidate,recall_cascade,median_cosine
identity,800,1.0,1.0,1.0,1.0
rotate_90,800,1.0,1.0,1.0,0.9772183895111084
rotate_180,800,1.0,1.0,1.0,0.9776300191879272
rotate_270,800,1.0,1.0,1.0,0.9775135517120361
jpeg_q90,800,1.0,1.0,1.0,0.9621440172195435
whatsapp,800,1.0,1.0,1.0,0.9352844953536987
jpeg_q60,800,0.9975,0.99875,0.99875,0.9009957313537598
brightness_down,800,0.99875,0.99875,0.99875,0.9693563580513
resize_75,800,0.99875,0.99875,0.99875,0.9484899044036865
jpeg_q30,800,1.0,1.0,0.9975,0.8554571866989136
resize_50,800,0.9975,0.99875,0.9975,0.8953040838241577
brightness_up,800,0.99625,0.9975,0.9975,0.9698681831359863
pad_black,800,0.99375,0.99625,0.99625,0.9772263765335083
pad_white,800,0.9875,0.995,0.995,0.9772242307662964
pad_colour,800,0.98875,0.995,0.995,0.9736613631248474
crop_5,800,0.60875,0.9525,0.9525,0.9337855577468872
resize_25,800,0.9975,0.99875,0.6375,0.6675745248794556
crop_10,800,0.035,0.29125,0.29125,0.8980273008346558
crop_20,800,0.0,0.01,0.01,0.8182753324508667
