threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0.5,126322,76527,25678,0.6227390817800433,0.8310657894736843,0.7119760799664083
0.5025,125627,456,26373,0.9963833347874019,0.8264934210526316,0.9035216104544327
0.505,125601,447,26399,0.9964537319116527,0.8263223684210527,0.9034483254689837
0.5075,125594,436,26406,0.9965405062286757,0.8262763157894737,0.9034564615329281
0.51,125577,435,26423,0.9965479478144939,0.8261644736842105,0.90339265930967
0.5125,125549,431,26451,0.9965788220352437,0.8259802631578947,0.903295201093604
0.515,125519,424,26481,0.9966333976481424,0.8257828947368421,0.9031995768916647
0.5175,125497,421,26503,0.9966565542654744,0.8256381578947368,0.903122503760102
0.52,125467,414,26533,0.996711179606136,0.8254407894736842,0.9030268352280292
0.5225,125453,414,26547,0.9967108137955143,0.8253486842105263,0.9029715655331506
0.525,125427,405,26573,0.9967814228495137,0.8251776315789474,0.9028981542802845
0.5275,125401,402,26599,0.9968045277139654,0.8250065789473684,0.9028052252855441
0.53,125370,398,26630,0.9968354430379747,0.8248026315789474,0.9026957748912762
0.5325,125339,393,26661,0.9968743040753348,0.8245986842105263,0.9025895467573056
0.535,125313,387,26687,0.9969212410501194,0.8244276315789474,0.9025063017644941
0.5375,125272,382,26728,0.9969599057729956,0.8241578947368421,0.9023604918351618
0.54,125248,374,26752,0.9970228144751715,0.824,0.902291605132158
0.5425,125215,369,26785,0.9970617276086126,0.8237828947368421,0.9021773589255865
0.545,125183,365,26817,0.9970927454041482,0.8235723684210526,0.9020637871647427
0.5475,125143,362,26857,0.9971156527628381,0.8233092105263158,0.9019152808057512
0.55,125092,353,26908,0.9971860177767149,0.8229736842105263,0.9017426877399124
0.5525,125052,345,26948,0.9972487380080863,0.8227105263157894,0.9016103274368504
0.555,124998,339,27002,0.9972952918930563,0.8223552631578948,0.9014159668562074
0.5575,124971,335,27029,0.9973265446187732,0.8221776315789474,0.9013220052937909
0.56,124916,327,27084,0.9973890756369618,0.8218157894736842,0.9011300555830084
0.5625,124886,321,27114,0.9974362455773239,0.8216184210526316,0.9010306377544578
0.565,124828,315,27172,0.9974828795857539,0.8212368421052632,0.9008201542164155
0.5675,124779,311,27221,0.9975137900711488,0.8209144736842106,0.9006387816232995
0.57,124740,306,27260,0.997552900532604,0.8206578947368421,0.9005002779321846
0.5725,124690,298,27310,0.997615771114027,0.8203289473684211,0.9003278120351785
0.575,124642,292,27358,0.9976627659404166,0.8200131578947368,0.9001567160406451
0.5775,124593,286,27407,0.9977097830700118,0.8196907894736842,0.8999815804015472
0.58,124541,278,27459,0.9977727749781684,0.8193486842105263,0.8998009529692688
0.5825,124479,274,27521,0.9978036600322236,0.8189407894736842,0.8995674843633131
