threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0.5,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
0.5025,151539,985151,461,0.13331603163571423,0.9969671052631579,0.23518301531012112
0.505,151515,958905,485,0.1364483708866915,0.9968092105263158,0.24003897276659114
0.5075,151499,933330,501,0.13965242448349002,0.996703947368421,0.24497970212535441
0.51,151488,908217,512,0.14295299163446432,0.9966315789473684,0.25004105784823866
0.5125,151466,883537,534,0.1463435371684913,0.9964868421052632,0.2552074426096649
0.515,151447,859463,553,0.1498125451326033,0.9963618421052631,0.26046211658683815
0.5175,151425,836188,575,0.15332422720235558,0.9962171052631579,0.26574810922655323
0.52,151401,813820,599,0.1568563054471463,0.9960592105263157,0.2710314252954429
0.5225,151391,791792,609,0.16051073863714677,0.9959934210526316,0.27646703792882105
0.525,151373,770760,627,0.1641552791191726,0.995875,0.2818515025606699
0.5275,151354,749715,646,0.1679715981794957,0.99575,0.28745314884399786
0.53,151324,729305,676,0.17183626703186017,0.9955526315789474,0.2930849317615523
0.5325,151302,709570,698,0.17575435140183443,0.9954078947368421,0.2987583821055375
0.535,151274,690327,726,0.17974550885752275,0.9952236842105263,0.30449647293028087
0.5375,151237,671700,763,0.18377712996256093,0.9949802631578948,0.31024979049928353
0.54,151214,653339,786,0.18794784184509908,0.9948289473684211,0.31616439444547245
0.5425,151180,635449,820,0.1921871682839051,0.9946052631578948,0.32212940363018827
0.545,151151,618315,849,0.19643622980092687,0.9944144736842105,0.3280663638159194
0.5475,151111,601209,889,0.20086000638026372,0.9941513157894737,0.3341980714791224
0.55,151068,584901,932,0.20526408041643057,0.9938684210526316,0.3402551215188818
0.5525,151036,568936,964,0.20978038034812466,0.9936578947368421,0.34642396774208345
0.555,150994,553454,1006,0.21434371309166894,0.9933815789473684,0.3526051785981169
0.5575,150963,538220,1037,0.21904632006303115,0.9931776315789473,0.3589302208912924
0.56,150911,523188,1089,0.223870677749114,0.9928355263157894,0.3653581471470126
0.5625,150878,508678,1122,0.2287569213228293,0.9926184210526315,0.3718240022869648
0.565,150821,494663,1179,0.23365567543114935,0.9922434210526315,0.37824207131428345
0.5675,150780,481154,1220,0.23860086654618995,0.9919736842105263,0.38467524051769664
0.57,150756,467556,1244,0.24381865465978342,0.9918157894736842,0.39141542647654454
0.5725,150699,454380,1301,0.24905673474042234,0.9914407894736842,0.3981064063327605
0.575,150644,441307,1356,0.2544872801971785,0.9910789473684211,0.40498366155835536
0.5775,150588,428847,1412,0.2598876491754899,0.9907105263157895,0.41176044351172686
0.58,150526,416659,1474,0.26539136260655694,0.9903026315789474,0.41860161154640324
0.5825,150455,404800,1545,0.27096559238548057,0.9898355263157895,0.42546182070116156
0.585,150407,393603,1593,0.2764783735593096,0.9895197368421053,0.43219781324980966
0.5875,150350,382504,1650,0.2821598411572401,0.9891447368421052,0.43907168535191443
0.59,150265,371834,1735,0.287809400132925,0.9885855263157894,0.44582472307480064
0.5925,150184,361531,1816,0.2934914942888131,0.9880526315789474,0.45255569031888687
0.595,150105,351531,1895,0.2992309164414037,0.9875328947368421,0.4592923278399599
0.5975,150029,341636,1971,0.30514476320258715,0.9870328947368421,0.46617106724771423
0.6,149951,331966,2049,0.31115524042521847,0.9865197368421053,0.4730934806922673
0.6025,149884,322597,2116,0.3172275710557673,0.986078947368421,0.4800274147652211
0.605,149784,313463,2216,0.32333506746940616,0.985421052631579,0.48690688455205794
0.6075,149701,304640,2299,0.3294904047840719,0.984875,0.49378485043894443
0.61,149614,295941,2386,0.3357924386439385,0.9843026315789474,0.5007539054982386
0.6125,149523,287707,2477,0.341977906365071,0.983703947368421,0.5075199837075506
0.615,149419,279446,2581,0.34840567544565304,0.9830197368421053,0.5144706601361761
0.6175,149312,271410,2688,0.3548946810482932,0.9823157894736843,0.5214117844259519
0.62,149227,263606,2773,0.3614706188701,0.9817565789473685,0.5283933481223655
0.6225,149110,256043,2890,0.36803380451335665,0.9809868421052632,0.5352569222457745
0.625,148998,248527,3002,0.37481416263128103,0.98025,0.5422792411628224
0.6275,148892,241247,3108,0.3816383391560444,0.9795526315789473,0.5492761081567643
0.63,148768,234179,3232,0.3884819570332187,0.9787368421052631,0.5561971559799382
0.6325,148661,227293,3339,0.39542337626411744,0.9780328947368421,0.5631589115718415
0.635,148554,220660,3446,0.4023520234877334,0.977328947368421,0.5700307359357194
0.6375,148426,214044,3574,0.40948492289017024,0.9764868421052632,0.5770054619316968
0.64,148281,207762,3719,0.41646935903809373,0.9755328947368421,0.5837340540072395
0.6425,148162,201602,3838,0.42360563122562644,0.97475,0.5905644884846263
0.645,148028,195795,3972,0.43053547901100275,0.9738684210526316,0.597100174860787
0.6475,147907,190017,4093,0.43769309075413404,0.9730723684210526,0.6037956907601996
0.65,147766,184582,4234,0.44461227388159397,0.9721447368421052,0.6101645924005054
0.6525,147592,179039,4408,0.4518615808052512,0.971,0.6167256195273603
0.655,147444,173887,4556,0.4588539543336933,0.9700263157894737,0.6230058880571946
0.6575,147308,168849,4692,0.46593306490129904,0.9691315789473685,0.629310252757088
0.66,147144,164075,4856,0.4727988972395644,0.9680526315789474,0.6353107277551223
