transform,pairs,recall_normalized,recall_no_normalization,recall_checksum,median_distance,p95_distance
identity,800,1.0,1.0,1.0,0.0,0.0
rotate_90,800,1.0,0.0,0.0,0.0,2.0
rotate_180,800,1.0,0.0,0.0,0.0,2.0
rotate_270,800,1.0,0.0,0.0,0.0,2.0
jpeg_q90,800,1.0,1.0,0.0,0.0,2.0
jpeg_q30,800,1.0,1.0,0.0,0.0,2.0
whatsapp,800,1.0,1.0,0.0,0.0,2.0
brightness_down,800,0.99875,1.0,0.0,0.0,2.0
resize_75,800,0.99875,1.0,0.0,0.0,2.0
jpeg_q60,800,0.9975,1.0,0.0,0.0,2.0
resize_50,800,0.9975,1.0,0.0,0.0,2.0
resize_25,800,0.9975,1.0,0.0,0.0,2.0
brightness_up,800,0.99625,0.99875,0.0,2.0,4.0
pad_black,800,0.99375,0.13875,0.0,0.0,2.0
pad_colour,800,0.98875,0.11125,0.0,0.0,2.0
pad_white,800,0.9875,0.1375,0.0,0.0,2.0
crop_5,800,0.60875,0.6075,0.0,10.0,16.0
crop_10,800,0.035,0.03125,0.0,20.0,26.0
crop_20,800,0.0,0.0,0.0,26.0,32.0
