threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0,36636,0,115364,1.0,0.24102631578947367,0.38843062830000635
1,36636,0,115364,1.0,0.24102631578947367,0.38843062830000635
2,43032,0,108968,1.0,0.28310526315789475,0.44128143073957093
3,43032,0,108968,1.0,0.28310526315789475,0.44128143073957093
4,44326,0,107674,1.0,0.2916184210526316,0.45155506657294503
5,44326,0,107674,1.0,0.2916184210526316,0.45155506657294503
6,46776,0,105224,1.0,0.30773684210526314,0.4706403187507546
7,46776,0,105224,1.0,0.30773684210526314,0.4706403187507546
8,49668,0,102332,1.0,0.32676315789473687,0.49257194993752107
9,49668,0,102332,1.0,0.32676315789473687,0.49257194993752107
10,54101,6,97899,0.9998891086181085,0.35592763157894736,0.5249797435312725
11,54101,6,97899,0.9998891086181085,0.35592763157894736,0.5249797435312725
12,60114,164,91886,0.9972792727031421,0.39548684210526314,0.5663705141371221
13,60114,164,91886,0.9972792727031421,0.39548684210526314,0.5663705141371221
14,67376,3284,84624,0.9535239173506934,0.44326315789473686,0.6051917722087488
15,67376,3284,84624,0.9535239173506934,0.44326315789473686,0.6051917722087488
16,74493,25531,77507,0.7447512596976725,0.4900855263157895,0.591157984953814
17,74493,25531,77507,0.7447512596976725,0.4900855263157895,0.591157984953814
18,81657,148860,70343,0.35423417795650647,0.5372171052631579,0.4269457305165522
19,81657,148860,70343,0.35423417795650647,0.5372171052631579,0.4269457305165522
20,87034,682685,64966,0.11307243292682134,0.5725921052631578,0.18885148293568862
21,87034,682685,64966,0.11307243292682134,0.5725921052631578,0.18885148293568862
22,91544,2510100,60456,0.035186981769988517,0.6022631578947368,0.06648935011206968
23,91544,2510100,60456,0.035186981769988517,0.6022631578947368,0.06648935011206968
24,96367,7448215,55633,0.012773007172564365,0.6339934210526316,0.02504150543708883
25,96367,7448215,55633,0.012773007172564365,0.6339934210526316,0.02504150543708883
26,101926,17923704,50074,0.005654504169895865,0.6705657894736842,0.011214443247001946
27,101926,17923704,50074,0.005654504169895865,0.6705657894736842,0.011214443247001946
28,109547,35499460,42453,0.003076384578766827,0.720703947368421,0.006126617183906482
29,109547,35499460,42453,0.003076384578766827,0.720703947368421,0.006126617183906482
30,120555,58849950,31445,0.002044327075035223,0.793125,0.004078142494131465
31,120555,58849950,31445,0.002044327075035223,0.793125,0.004078142494131465
32,134217,83324221,17783,0.0016081896955703868,0.8830065789473684,0.003210532158676169
33,134217,83324221,17783,0.0016081896955703868,0.8830065789473684,0.003210532158676169
34,143613,103647984,8387,0.0013836669263312328,0.9448223684210526,0.0027632870930953063
35,143613,103647984,8387,0.0013836669263312328,0.9448223684210526,0.0027632870930953063
36,148883,116976274,3117,0.0012711445074092835,0.9794934210526316,0.002538994017394197
37,148883,116976274,3117,0.0012711445074092835,0.9794934210526316,0.002538994017394197
38,151080,123857632,920,0.0012183015012687173,0.9939473684210526,0.0024336200649364833
39,151080,123857632,920,0.0012183015012687173,0.9939473684210526,0.0024336200649364833
40,151790,126665116,210,0.0011969224355623375,0.9986184210526315,0.002390979095307004
41,151790,126665116,210,0.0011969224355623375,0.9986184210526315,0.002390979095307004
42,151955,127559606,45,0.0011898296349224014,0.999703947368421,0.0023768304090952073
43,151955,127559606,45,0.0011898296349224014,0.999703947368421,0.0023768304090952073
44,151985,127784843,15,0.0011879691123809948,0.9999013157894737,0.002373118754744169
45,151985,127784843,15,0.0011879691123809948,0.9999013157894737,0.002373118754744169
46,151999,127831230,1,0.001187647797196928,0.9999934210526316,0.002372477907695471
47,151999,127831230,1,0.001187647797196928,0.9999934210526316,0.002372477907695471
48,152000,127839313,0,0.0011875805977550993,1.0,0.0023723438459875004
49,152000,127839313,0,0.0011875805977550993,1.0,0.0023723438459875004
50,152000,127839953,0,0.0011875746594787876,1.0,0.0023723319975933626
51,152000,127839953,0,0.0011875746594787876,1.0,0.0023723319975933626
52,152000,127839998,0,0.0011875742419459692,1.0,0.0023723311645076034
53,152000,127839998,0,0.0011875742419459692,1.0,0.0023723311645076034
54,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
55,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
56,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
57,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
58,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
59,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
60,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
61,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
62,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
63,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
64,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
