threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0,91678,0,60322,1.0,0.6031447368421052,0.7524520063362305
1,91678,0,60322,1.0,0.6031447368421052,0.7524520063362305
2,105984,0,46016,1.0,0.6972631578947368,0.8216323492929793
3,105984,0,46016,1.0,0.6972631578947368,0.8216323492929793
4,108193,0,43807,1.0,0.711796052631579,0.8316365159708371
5,108193,0,43807,1.0,0.711796052631579,0.8316365159708371
6,110494,0,41506,1.0,0.7269342105263158,0.8418782905514031
7,110494,0,41506,1.0,0.7269342105263158,0.8418782905514031
8,113506,0,38494,1.0,0.74675,0.8550164591383999
9,113506,0,38494,1.0,0.74675,0.8550164591383999
10,117252,5,34748,0.9999573586225129,0.7713947368421052,0.8709300036767845
11,117252,5,34748,0.9999573586225129,0.7713947368421052,0.8709300036767845
12,120851,590,31149,0.9951416737345707,0.7950723684210527,0.883927428586057
13,120851,590,31149,0.9951416737345707,0.7950723684210527,0.883927428586057
14,123642,8357,28358,0.9366889143099569,0.8134342105263158,0.8707213757794923
15,123642,8357,28358,0.9366889143099569,0.8134342105263158,0.8707213757794923
16,126322,76527,25678,0.6227390817800433,0.8310657894736843,0.7119760799664083
17,126322,76527,25678,0.6227390817800433,0.8310657894736843,0.7119760799664083
18,129518,497322,22482,0.20662050922085382,0.8520921052631579,0.3325920599866468
19,129518,497322,22482,0.20662050922085382,0.8520921052631579,0.3325920599866468
20,132556,2428259,19444,0.05176320819739028,0.8720789473684211,0.09772579405525256
21,132556,2428259,19444,0.05176320819739028,0.8720789473684211,0.09772579405525256
22,136061,9083600,15939,0.01475770096102232,0.8951381578947368,0.029036688373597807
23,136061,9083600,15939,0.01475770096102232,0.8951381578947368,0.029036688373597807
24,140268,26051834,11732,0.005355354831773334,0.9228157894736843,0.010648911092129846
25,140268,26051834,11732,0.005355354831773334,0.9228157894736843,0.010648911092129846
26,144917,56419736,7083,0.0025619709891970873,0.9534013157894737,0.005110209870811664
27,144917,56419736,7083,0.0025619709891970873,0.9534013157894737,0.005110209870811664
28,148739,91952814,3261,0.0016149456242067926,0.9785460526315789,0.003224569572946421
29,148739,91952814,3261,0.0016149456242067926,0.9785460526315789,0.003224569572946421
30,151092,116590037,908,0.0012942482336280987,0.9940263157894736,0.002585130559726911
31,151092,116590037,908,0.0012942482336280987,0.9940263157894736,0.002585130559726911
32,151920,125892830,80,0.001205286217791697,0.9994736842105263,0.002407668977212171
33,151920,125892830,80,0.001205286217791697,0.9994736842105263,0.002407668977212171
34,151998,127672419,2,0.0011891155349450957,0.9999868421052631,0.0023754064000713502
35,151998,127672419,2,0.0011891155349450957,0.9999868421052631,0.0023754064000713502
36,152000,127833274,0,0.0011876366338833637,1.0,0.002372455652521529
37,152000,127833274,0,0.0011876366338833637,1.0,0.002372455652521529
38,152000,127839944,0,0.0011875747429853866,1.0,0.002372332164210585
39,152000,127839944,0,0.0011875747429853866,1.0,0.002372332164210585
40,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
41,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
42,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
43,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
44,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
45,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
46,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
47,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
48,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
49,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
50,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
51,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
52,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
53,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
54,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
55,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
56,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
57,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
58,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
59,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
60,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
61,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
62,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
63,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
64,152000,127840000,0,0.001187574223388962,1.0,0.0023723311274815835
